公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
6504,南六,522103,534396,517616,-2.3,0.86,2966761,3003042,-1.2,-
6581,鋼聯,191896,56539,159368,239.4,20.41,688013,854322,-19.46,-
8033,雷虎,62152,57002,79141,9.03,-21.46,384426,467413,-17.75,-
8341,日友,145759,129681,132712,12.39,9.83,872007,759214,14.85,-
8422,可寧衛,273487,273515,223463,-0.01,22.38,1645570,1203082,36.77,-
8463,潤泰材,267294,249443,296424,7.15,-9.82,1457572,1789421,-18.54,-
8464,億豐,1661490,1636199,1444226,1.54,15.04,9085359,7641486,18.89,-
8473,山林水,175659,138670,113773,26.67,54.39,1025507,722470,41.94,係105年承攬工程增加
8478,東哥遊艇,1138408,12728,240145,8844.12,374.05,1571918,735538,113.7,主係認列遊艇銷售收入所致
8481,政伸,90772,94701,111527,-4.14,-18.6,537943,631898,-14.86,-
9902,台火,6177,7785,11519,-20.65,-46.37,34145,56603,-39.67,-
9904,寶成,24485493,24860612,23375388,-1.5,4.74,140730217,132846033,5.93,-
9905,大華,697697,637716,810786,9.4,-13.94,3510485,4220693,-16.82,-
9907,統一實,2948692,2831049,3210406,4.15,-8.15,16807054,19542656,-13.99,-
9910,豐泰,5270277,5357097,4761317,-1.62,10.68,29659293,26213402,13.14,合併營業收入為本公司自結數
9911,櫻花,420987,382607,390097,10.03,7.91,2748892,2344945,17.22,-
9914,美利達,2185995,1897086,2565437,15.22,-14.79,11075502,13229794,-16.28,-
9917,中保科,1155484,1132529,1119774,2.02,3.18,6604577,6594687,0.14,-
9919,康那香,329941,326722,312922,0.98,5.43,2073916,2214131,-6.33,-
9921,巨大,4745198,4747403,5129962,-0.04,-7.5,29066760,30150517,-3.59,-
9924,福興,738801,800605,719513,-7.71,2.68,4190872,3891542,7.69,-
9925,新保,596231,607994,583203,-1.93,2.23,3582027,3469625,3.23,-
9927,泰銘,717259,755346,899491,-5.04,-20.25,4257347,5348791,-20.4,-
9928,中視,57258,66422,81585,-13.79,-29.81,384262,385778,-0.39,-
9929,秋雨,52291,53252,96374,-1.8,-45.74,379708,546236,-30.48,"秋雨上海子公司已交割,5月起無營收"
9930,中聯資源,590167,625065,642504,-5.58,-8.14,3552459,3891057,-8.7,-
9933,中鼎,6034883,6222546,6347266,-3.01,-4.92,31780860,29863584,6.42,-
9934,成霖,1756519,1788145,1612414,-1.76,8.93,10182346,9578039,6.3,-
9935,慶豐富,355974,323717,284598,9.96,25.07,1735731,1714649,1.22,-
9938,百和,831128,915799,692201,-9.24,20.07,5201153,4534891,14.69,-
9939,宏全,1637697,1614932,1757957,1.4,-6.84,8607825,9149619,-5.92,-
9940,信義,683983,746851,630273,-8.41,8.52,3639798,3966202,-8.22,-
9941,裕融,1456530,1471318,1391981,-1.0,4.63,8664996,8295034,4.46,-
9942,茂順,249337,273692,222226,-8.89,12.19,1472972,1417954,3.88,-
9944,新麗,306843,331569,330671,-7.45,-7.2,1951929,2119121,-7.88,-
9945,潤泰新,1444305,845074,596546,70.9,142.11,6101848,4048347,50.72,本月營收及本年累積營收較去年同期增加達50%以上，係因個案銷售於本月過戶交屋認列收入及承接外案之營造收入增加所致。
9955,佳龍,341496,129264,193277,164.18,76.68,1317795,1367899,-3.66,"營收較去年同期增加,主要係因本期黃金價格上漲及黃金銷售量增加所致"
